FIPS County code +19,County Name
1,Adair
3,Adams
5,Allamakee
7,Appanoose
9,Audubon
11,Benton
13,Black Hawk
15,Boone
17,Bremer
19,Buchanan
21,Buena Vista
23,Butler
25,Calhoun
27,Carroll
29,Cass
31,Cedar
33,Cerro Gordo
35,Cherokee
37,Chickasaw
39,Clarke
41,Clay
43,Clayton
45,Clinton
47,Crawford
49,Dallas
51,Davis
53,Decatur
55,Delaware
57,Des Moines
59,Dickinson
61,Dubuque
63,Emmet
65,Fayette
67,Floyd
69,Franklin
71,Fremont
73,Greene
75,Grundy
77,Guthrie
79,Hamilton
81,Hancock
83,Hardin
85,Harrison
87,Henry
89,Howard
91,Humboldt
93,Ida
95,Iowa County
97,Jackson
99,Jasper
101,Jefferson
103,Johnson
105,Jones
107,Keokuk
109,Kossuth
111,Lee
113,Linn
115,Louisa
117,Lucas
119,Lyon
121,Madison
123,Mahaska
125,Marion
127,Marshall
129,Mills
131,Mitchell
133,Monona
135,Monroe
137,Montgomery
139,Muscatine
141,O'Brien
143,Osceola
145,Page
147,Palo Alto
149,Plymouth
151,Pocahontas
153,Polk
155,Pottawattamie
157,Poweshiek
159,Ringgold
161,Sac
163,Scott
165,Shelby
167,Sioux
169,Story
171,Tama
173,Taylor
175,Union
177,Van Buren
179,Wapello
181,Warren
183,Washington
185,Wayne
187,Webster
189,Winnebago
191,Winneshiek
193,Woodbury
195,Worth
197,Wrigh
197,Wright
95,Iowa
999,Kandiyohi
999,El Paso
